Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-9.950000,-29.100000,90.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-1.700000,-29.600000,0.000000,top
"D1","LED_red","0805",0.100000,-20.800000,180.000000,top
"D2","D","D_SOD-123F",-6.600000,-35.600000,180.000000,top
"D3","D","D_SOD-123F",-6.600000,-32.750000,180.000000,top
"D4","LED_red","0805",0.100000,-23.175000,180.000000,top
"R1","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-1.700000,-36.900000,0.000000,top
"R2","100R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-1.700000,-34.500000,180.000000,top
"R3","470R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-1.700000,-27.100000,0.000000,top
"R4","470R","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-7.800000,-29.100000,90.000000,top
"R5","10K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",-1.700000,-32.100000,0.000000,top
"U1","TXB0108PWR","TSSOP-20_W4.4mm",-44.200000,-23.300000,270.000000,top
"U2","TXB0108PWR","TSSOP-20_W4.4mm",-33.200000,-23.300000,270.000000,top
"U3","TXB0108PWR","TSSOP-20_W4.4mm",-22.700000,-23.300000,270.000000,top
"U4","TXB0108PWR","TSSOP-20_W4.4mm",-11.700000,-23.300000,270.000000,top
